"Step","silvery-sweep-17 - fairness_valid/AbsDiff_hit","silvery-sweep-17 - fairness_valid/AbsDiff_hit__MIN","silvery-sweep-17 - fairness_valid/AbsDiff_hit__MAX","fanciful-sweep-16 - fairness_valid/AbsDiff_hit","fanciful-sweep-16 - fairness_valid/AbsDiff_hit__MIN","fanciful-sweep-16 - fairness_valid/AbsDiff_hit__MAX","charmed-sweep-15 - fairness_valid/AbsDiff_hit","charmed-sweep-15 - fairness_valid/AbsDiff_hit__MIN","charmed-sweep-15 - fairness_valid/AbsDiff_hit__MAX","ruby-sweep-14 - fairness_valid/AbsDiff_hit","ruby-sweep-14 - fairness_valid/AbsDiff_hit__MIN","ruby-sweep-14 - fairness_valid/AbsDiff_hit__MAX","dainty-sweep-13 - fairness_valid/AbsDiff_hit","dainty-sweep-13 - fairness_valid/AbsDiff_hit__MIN","dainty-sweep-13 - fairness_valid/AbsDiff_hit__MAX","stellar-sweep-12 - fairness_valid/AbsDiff_hit","stellar-sweep-12 - fairness_valid/AbsDiff_hit__MIN","stellar-sweep-12 - fairness_valid/AbsDiff_hit__MAX","super-sweep-11 - fairness_valid/AbsDiff_hit","super-sweep-11 - fairness_valid/AbsDiff_hit__MIN","super-sweep-11 - fairness_valid/AbsDiff_hit__MAX","feasible-sweep-10 - fairness_valid/AbsDiff_hit","feasible-sweep-10 - fairness_valid/AbsDiff_hit__MIN","feasible-sweep-10 - fairness_valid/AbsDiff_hit__MAX","misty-sweep-9 - fairness_valid/AbsDiff_hit","misty-sweep-9 - fairness_valid/AbsDiff_hit__MIN","misty-sweep-9 - fairness_valid/AbsDiff_hit__MAX","gentle-sweep-8 - fairness_valid/AbsDiff_hit","gentle-sweep-8 - fairness_valid/AbsDiff_hit__MIN","gentle-sweep-8 - fairness_valid/AbsDiff_hit__MAX"
"1","0.006101361325241923","0.006101361325241923","0.006101361325241923","0.010578973265540432","0.010578973265540432","0.010578973265540432","0.011934831337816414","0.011934831337816414","0.011934831337816414","0.011934831337816414","0.011934831337816414","0.011934831337816414","0.009764364988245587","0.009764364988245587","0.009764364988245587","0.011934831337816414","0.011934831337816414","0.011934831337816414","0.011934831337816414","0.011934831337816414","0.011934831337816414","0.013427368651249251","0.013427368651249251","0.013427368651249251","0.013564047892406103","0.013564047892406103","0.013564047892406103","0.013564047892406103","0.013564047892406103","0.013564047892406103"
"2","0.006779290361379916","0.006779290361379916","0.006779290361379916","0.005423432289103931","0.005423432289103931","0.005423432289103931","0.006779290361379916","0.006779290361379916","0.006779290361379916","0.00827182767481275","0.00827182767481275","0.00827182767481275","0.013564047892406103","0.013564047892406103","0.013564047892406103","0.01044229402438358","0.01044229402438358","0.01044229402438358","0.011934831337816414","0.011934831337816414","0.011934831337816414","0.013427368651249251","0.013427368651249251","0.013427368651249251","0.005964682084085071","0.005964682084085071","0.005964682084085071","0.005964682084085071","0.005964682084085071","0.005964682084085071"
"3","0.008944289541304468","0.008944289541304468","0.008944289541304468","0.006773823191733641","0.006773823191733641","0.006773823191733641","0.0016237493849434181","0.0016237493849434181","0.0016237493849434181","0.0005467169646274118","0.0005467169646274118","0.0005467169646274118","0.002575036903395115","0.002575036903395115","0.002575036903395115","0.011934831337816414","0.011934831337816414","0.011934831337816414","0.013427368651249251","0.013427368651249251","0.013427368651249251","0.009764364988245587","0.009764364988245587","0.009764364988245587","0.013717128642501783","0.013717128642501783","0.013717128642501783","0.012224591329068946","0.012224591329068946","0.012224591329068946"
"4","0.006943305450768128","0.006943305450768128","0.006943305450768128","0.003909026297085977","0.003909026297085977","0.003909026297085977","0.0023016784210814073","0.0023016784210814073","0.0023016784210814073","0.0023016784210814073","0.0023016784210814073","0.0023016784210814073","0.010857798917500407","0.010857798917500407","0.010857798917500407","0.017090372314252915","0.017090372314252915","0.017090372314252915","0.017090372314252915","0.017090372314252915","0.017090372314252915","0.011256902301678424","0.011256902301678424","0.011256902301678424","0.046968454431141005","0.046968454431141005","0.046968454431141005","0.04995352905800668","0.04995352905800668","0.04995352905800668"
"5","0.019435788092504486","0.019435788092504486","0.019435788092504486","0.027849762178120407","0.027849762178120407","0.027849762178120407","0.0040621070471816775","0.0040621070471816775","0.0040621070471816775","0.005554644360614508","0.005554644360614508","0.005554644360614508","0.003127221037668798","0.003127221037668798","0.003127221037668798","0.013427368651249251","0.013427368651249251","0.013427368651249251","0.013427368651249251","0.013427368651249251","0.013427368651249251","0.009764364988245587","0.009764364988245587","0.009764364988245587","0.06271390301241048","0.06271390301241048","0.06271390301241048","0.06420644032584333","0.06420644032584333","0.06420644032584333"
"6","0.030840303974632333","0.030840303974632333","0.030840303974632333","0.03708381171067737","0.03708381171067737","0.03708381171067737","0.02402821059537477","0.02402821059537477","0.02402821059537477","0.02552074790880761","0.02552074790880761","0.02552074790880761","0.01968727789623312","0.01968727789623312","0.01968727789623312","0.014919905964682088","0.014919905964682088","0.014919905964682088","0.011256902301678424","0.011256902301678424","0.011256902301678424","0.007593898638674761","0.007593898638674761","0.007593898638674761","0.038838773167131385","0.038838773167131385","0.038838773167131385","0.03965338144442623","0.03965338144442623","0.03965338144442623"
"7","0.018768793395659067","0.018768793395659067","0.018768793395659067","0.025553550926685265","0.025553550926685265","0.025553550926685265","0.028243398392652108","0.028243398392652108","0.028243398392652108","0.028243398392652108","0.028243398392652108","0.028243398392652108","0.029058006669946984","0.029058006669946984","0.029058006669946984","0.003930894975671097","0.003930894975671097","0.003930894975671097","0.003930894975671097","0.003930894975671097","0.003930894975671097","0.009086435952107594","0.009086435952107594","0.009086435952107594","0.01876332622601279","0.01876332622601279","0.01876332622601279","0.026903941829314992","0.026903941829314992","0.026903941829314992"
"8","0.023383084577114466","0.023383084577114466","0.023383084577114466","0.034372095566125416","0.034372095566125416","0.034372095566125416","0.019971570717839393","0.019971570717839393","0.019971570717839393","0.004504947788529862","0.004504947788529862","0.004504947788529862","0.014274779946421734","0.014274779946421734","0.014274779946421734","0.004608824011809086","0.004608824011809086","0.004608824011809086","0.0024383576622382594","0.0024383576622382594","0.0024383576622382594","0.003930894975671097","0.003930894975671097","0.003930894975671097","0.026362692034333834","0.026362692034333834","0.026362692034333834","0.02934776666119948","0.02934776666119948","0.02934776666119948"
"9","0.014159969383850002","0.014159969383850002","0.014159969383850002","0.033289595976163155","0.033289595976163155","0.033289595976163155","0.002339948608605341","0.002339948608605341","0.002339948608605341","0.005325023235470988","0.005325023235470988","0.005325023235470988","0.03219069487726203","0.03219069487726203","0.03219069487726203","0.006101361325241923","0.006101361325241923","0.006101361325241923","0.006101361325241923","0.006101361325241923","0.006101361325241923","0.0002678913126674329","0.0002678913126674329","0.0002678913126674329","0.03314744956536003","0.03314744956536003","0.03314744956536003","0.03246952052922203","0.03246952052922203","0.03246952052922203"
"10","0.0088677491662566","0.0088677491662566","0.0088677491662566","0.027456125963588596","0.027456125963588596","0.027456125963588596","0.0236455087201356","0.0236455087201356","0.0236455087201356","0.026630583347001247","0.026630583347001247","0.026630583347001247","0.05118910939806459","0.05118910939806459","0.05118910939806459","0.011934831337816414","0.011934831337816414","0.011934831337816414","0.011934831337816414","0.011934831337816414","0.011934831337816414","0.005423432289103931","0.005423432289103931","0.005423432289103931","0.06136897927942703","0.06136897927942703","0.06136897927942703","0.06136897927942703","0.06136897927942703","0.06136897927942703"