"Step","silvery-sweep-17 - fairness_valid/Exposure_pop","silvery-sweep-17 - fairness_valid/Exposure_pop__MIN","silvery-sweep-17 - fairness_valid/Exposure_pop__MAX","fanciful-sweep-16 - fairness_valid/Exposure_pop","fanciful-sweep-16 - fairness_valid/Exposure_pop__MIN","fanciful-sweep-16 - fairness_valid/Exposure_pop__MAX","charmed-sweep-15 - fairness_valid/Exposure_pop","charmed-sweep-15 - fairness_valid/Exposure_pop__MIN","charmed-sweep-15 - fairness_valid/Exposure_pop__MAX","ruby-sweep-14 - fairness_valid/Exposure_pop","ruby-sweep-14 - fairness_valid/Exposure_pop__MIN","ruby-sweep-14 - fairness_valid/Exposure_pop__MAX","dainty-sweep-13 - fairness_valid/Exposure_pop","dainty-sweep-13 - fairness_valid/Exposure_pop__MIN","dainty-sweep-13 - fairness_valid/Exposure_pop__MAX","stellar-sweep-12 - fairness_valid/Exposure_pop","stellar-sweep-12 - fairness_valid/Exposure_pop__MIN","stellar-sweep-12 - fairness_valid/Exposure_pop__MAX","super-sweep-11 - fairness_valid/Exposure_pop","super-sweep-11 - fairness_valid/Exposure_pop__MIN","super-sweep-11 - fairness_valid/Exposure_pop__MAX","feasible-sweep-10 - fairness_valid/Exposure_pop","feasible-sweep-10 - fairness_valid/Exposure_pop__MIN","feasible-sweep-10 - fairness_valid/Exposure_pop__MAX","misty-sweep-9 - fairness_valid/Exposure_pop","misty-sweep-9 - fairness_valid/Exposure_pop__MIN","misty-sweep-9 - fairness_valid/Exposure_pop__MAX","gentle-sweep-8 - fairness_valid/Exposure_pop","gentle-sweep-8 - fairness_valid/Exposure_pop__MIN","gentle-sweep-8 - fairness_valid/Exposure_pop__MAX"
"1","2971","2971","2971","2704","2704","2704","2997","2997","2997","2985","2985","2985","2848","2848","2848","3019","3019","3019","3017","3017","3017","2990","2990","2990","3189","3189","3189","3169","3169","3169"
"2","3503","3503","3503","3024","3024","3024","3063","3063","3063","3038","3038","3038","2765","2765","2765","3017","3017","3017","3012","3012","3012","2947","2947","2947","4314","4314","4314","4278","4278","4278"
"3","5585","5585","5585","5258","5258","5258","3374","3374","3374","3337","3337","3337","2915","2915","2915","3025","3025","3025","3013","3013","3013","2924","2924","2924","7145","7145","7145","7143","7143","7143"
"4","8192","8192","8192","8240","8240","8240","3948","3948","3948","3899","3899","3899","3437","3437","3437","3026","3026","3026","3014","3014","3014","2910","2910","2910","8888","8888","8888","8893","8893","8893"
"5","9118","9118","9118","9159","9159","9159","4977","4977","4977","4947","4947","4947","4533","4533","4533","3034","3034","3034","3020","3020","3020","2889","2889","2889","9331","9331","9331","9332","9332","9332"
"6","9381","9381","9381","9399","9399","9399","6498","6498","6498","6485","6485","6485","6279","6279","6279","3040","3040","3040","3025","3025","3025","2867","2867","2867","9403","9403","9403","9404","9404","9404"
"7","9414","9414","9414","9417","9417","9417","7884","7884","7884","7884","7884","7884","7886","7886","7886","3047","3047","3047","3031","3031","3031","2861","2861","2861","9416","9416","9416","9416","9416","9416"
"8","9421","9421","9421","9425","9425","9425","8724","8724","8724","8731","8731","8731","8784","8784","8784","3104","3104","3104","3079","3079","3079","2863","2863","2863","9413","9413","9413","9413","9413","9413"
"9","9420","9420","9420","9424","9424","9424","9104","9104","9104","9110","9110","9110","9156","9156","9156","3136","3136","3136","3110","3110","3110","2861","2861","2861","9410","9410","9410","9410","9410","9410"
"10","9425","9425","9425","9424","9424","9424","9255","9255","9255","9256","9256","9256","9293","9293","9293","3201","3201","3201","3172","3172","3172","2903","2903","2903","9414","9414","9414","9414","9414","9414"