"Step","silvery-sweep-17 - fairness_valid/Exposure_tail","silvery-sweep-17 - fairness_valid/Exposure_tail__MIN","silvery-sweep-17 - fairness_valid/Exposure_tail__MAX","fanciful-sweep-16 - fairness_valid/Exposure_tail","fanciful-sweep-16 - fairness_valid/Exposure_tail__MIN","fanciful-sweep-16 - fairness_valid/Exposure_tail__MAX","charmed-sweep-15 - fairness_valid/Exposure_tail","charmed-sweep-15 - fairness_valid/Exposure_tail__MIN","charmed-sweep-15 - fairness_valid/Exposure_tail__MAX","ruby-sweep-14 - fairness_valid/Exposure_tail","ruby-sweep-14 - fairness_valid/Exposure_tail__MIN","ruby-sweep-14 - fairness_valid/Exposure_tail__MAX","dainty-sweep-13 - fairness_valid/Exposure_tail","dainty-sweep-13 - fairness_valid/Exposure_tail__MIN","dainty-sweep-13 - fairness_valid/Exposure_tail__MAX","stellar-sweep-12 - fairness_valid/Exposure_tail","stellar-sweep-12 - fairness_valid/Exposure_tail__MIN","stellar-sweep-12 - fairness_valid/Exposure_tail__MAX","super-sweep-11 - fairness_valid/Exposure_tail","super-sweep-11 - fairness_valid/Exposure_tail__MIN","super-sweep-11 - fairness_valid/Exposure_tail__MAX","feasible-sweep-10 - fairness_valid/Exposure_tail","feasible-sweep-10 - fairness_valid/Exposure_tail__MIN","feasible-sweep-10 - fairness_valid/Exposure_tail__MAX","misty-sweep-9 - fairness_valid/Exposure_tail","misty-sweep-9 - fairness_valid/Exposure_tail__MIN","misty-sweep-9 - fairness_valid/Exposure_tail__MAX","gentle-sweep-8 - fairness_valid/Exposure_tail","gentle-sweep-8 - fairness_valid/Exposure_tail__MIN","gentle-sweep-8 - fairness_valid/Exposure_tail__MAX"
"1","6459","6459","6459","6726","6726","6726","6433","6433","6433","6445","6445","6445","6582","6582","6582","6411","6411","6411","6413","6413","6413","6440","6440","6440","6241","6241","6241","6261","6261","6261"
"2","5927","5927","5927","6406","6406","6406","6367","6367","6367","6392","6392","6392","6665","6665","6665","6413","6413","6413","6418","6418","6418","6483","6483","6483","5116","5116","5116","5152","5152","5152"
"3","3845","3845","3845","4172","4172","4172","6056","6056","6056","6093","6093","6093","6515","6515","6515","6405","6405","6405","6417","6417","6417","6506","6506","6506","2285","2285","2285","2287","2287","2287"
"4","1238","1238","1238","1190","1190","1190","5482","5482","5482","5531","5531","5531","5993","5993","5993","6404","6404","6404","6416","6416","6416","6520","6520","6520","542","542","542","537","537","537"
"5","312","312","312","271","271","271","4453","4453","4453","4483","4483","4483","4897","4897","4897","6396","6396","6396","6410","6410","6410","6541","6541","6541","99","99","99","98","98","98"
"6","49","49","49","31","31","31","2932","2932","2932","2945","2945","2945","3151","3151","3151","6390","6390","6390","6405","6405","6405","6563","6563","6563","27","27","27","26","26","26"
"7","16","16","16","13","13","13","1546","1546","1546","1546","1546","1546","1544","1544","1544","6383","6383","6383","6399","6399","6399","6569","6569","6569","14","14","14","14","14","14"
"8","9","9","9","5","5","5","706","706","706","699","699","699","646","646","646","6326","6326","6326","6351","6351","6351","6567","6567","6567","17","17","17","17","17","17"
"9","10","10","10","6","6","6","326","326","326","320","320","320","274","274","274","6294","6294","6294","6320","6320","6320","6569","6569","6569","20","20","20","20","20","20"
"10","5","5","5","6","6","6","175","175","175","174","174","174","137","137","137","6229","6229","6229","6258","6258","6258","6527","6527","6527","16","16","16","16","16","16"