"Step","silvery-sweep-17 - fairness_valid/KS","silvery-sweep-17 - fairness_valid/KS__MIN","silvery-sweep-17 - fairness_valid/KS__MAX","fanciful-sweep-16 - fairness_valid/KS","fanciful-sweep-16 - fairness_valid/KS__MIN","fanciful-sweep-16 - fairness_valid/KS__MAX","charmed-sweep-15 - fairness_valid/KS","charmed-sweep-15 - fairness_valid/KS__MIN","charmed-sweep-15 - fairness_valid/KS__MAX","ruby-sweep-14 - fairness_valid/KS","ruby-sweep-14 - fairness_valid/KS__MIN","ruby-sweep-14 - fairness_valid/KS__MAX","dainty-sweep-13 - fairness_valid/KS","dainty-sweep-13 - fairness_valid/KS__MIN","dainty-sweep-13 - fairness_valid/KS__MAX","stellar-sweep-12 - fairness_valid/KS","stellar-sweep-12 - fairness_valid/KS__MIN","stellar-sweep-12 - fairness_valid/KS__MAX","super-sweep-11 - fairness_valid/KS","super-sweep-11 - fairness_valid/KS__MIN","super-sweep-11 - fairness_valid/KS__MAX","feasible-sweep-10 - fairness_valid/KS","feasible-sweep-10 - fairness_valid/KS__MIN","feasible-sweep-10 - fairness_valid/KS__MAX","misty-sweep-9 - fairness_valid/KS","misty-sweep-9 - fairness_valid/KS__MIN","misty-sweep-9 - fairness_valid/KS__MAX","gentle-sweep-8 - fairness_valid/KS","gentle-sweep-8 - fairness_valid/KS__MIN","gentle-sweep-8 - fairness_valid/KS__MAX"
"1","0.01510709861905525","0.01510709861905525","0.01510709861905525","0.015083767287815374","0.015083767287815374","0.015083767287815374","0.015071035867501295","0.015071035867501295","0.015071035867501295","0.015112744516795212","0.015112744516795212","0.015112744516795212","0.015131067682281367","0.015131067682281367","0.015131067682281367","0.0151098807091712","0.0151098807091712","0.0151098807091712","0.0151081946677413","0.0151081946677413","0.0151081946677413","0.015067382693663051","0.015067382693663051","0.015067382693663051","0.0151212275138375","0.0151212275138375","0.0151212275138375","0.015118032524696354","0.015118032524696354","0.015118032524696354"
"2","0.015059328106630444","0.015059328106630444","0.015059328106630444","0.015082185062816137","0.015082185062816137","0.015082185062816137","0.014967009146921699","0.014967009146921699","0.014967009146921699","0.015025232054066225","0.015025232054066225","0.015025232054066225","0.015138191788256598","0.015138191788256598","0.015138191788256598","0.015106762362740021","0.015106762362740021","0.015106762362740021","0.015121298294538515","0.015121298294538515","0.015121298294538515","0.015070885843628612","0.015070885843628612","0.015070885843628612","0.015185954645940025","0.015185954645940025","0.015185954645940025","0.015233681780951521","0.015233681780951521","0.015233681780951521"
"3","0.01541248358638388","0.01541248358638388","0.01541248358638388","0.015439326985480267","0.015439326985480267","0.015439326985480267","0.015081981068906852","0.015081981068906852","0.015081981068906852","0.015068652705087457","0.015068652705087457","0.015068652705087457","0.015132427574105354","0.015132427574105354","0.015132427574105354","0.015077929205397212","0.015077929205397212","0.015077929205397212","0.015055636010823253","0.015055636010823253","0.015055636010823253","0.01509703129075871","0.01509703129075871","0.01509703129075871","0.015589923335914253","0.015589923335914253","0.015589923335914253","0.015549077314140083","0.015549077314140083","0.015549077314140083"
"4","0.01609757817074967","0.01609757817074967","0.01609757817074967","0.01618654886914971","0.01618654886914971","0.01618654886914971","0.015040604938905022","0.015040604938905022","0.015040604938905022","0.015014631226839752","0.015014631226839752","0.015014631226839752","0.015319595166477063","0.015319595166477063","0.015319595166477063","0.015084924309619413","0.015084924309619413","0.015084924309619413","0.015076638292451981","0.015076638292451981","0.015076638292451981","0.01507831329052256","0.01507831329052256","0.01507831329052256","0.01665204940680368","0.01665204940680368","0.01665204940680368","0.016676774249471563","0.016676774249471563","0.016676774249471563"
"5","0.018451255972849794","0.018451255972849794","0.018451255972849794","0.018374036784792384","0.018374036784792384","0.018374036784792384","0.01512689768217974","0.01512689768217974","0.01512689768217974","0.015135349660901864","0.015135349660901864","0.015135349660901864","0.015335502626203836","0.015335502626203836","0.015335502626203836","0.015116792183636806","0.015116792183636806","0.015116792183636806","0.015103860388489251","0.015103860388489251","0.015103860388489251","0.01505567419192973","0.01505567419192973","0.01505567419192973","0.019676601097424504","0.019676601097424504","0.019676601097424504","0.0196852052871314","0.0196852052871314","0.0196852052871314"
"6","0.0232734804606829","0.0232734804606829","0.0232734804606829","0.023612893057573216","0.023612893057573216","0.023612893057573216","0.015381207289649824","0.015381207289649824","0.015381207289649824","0.015347865407079452","0.015347865407079452","0.015347865407079452","0.015441901445067107","0.015441901445067107","0.015441901445067107","0.015084034483071726","0.015084034483071726","0.015084034483071726","0.015059632396301304","0.015059632396301304","0.015059632396301304","0.015057547924748366","0.015057547924748366","0.015057547924748366","0.02720792274551029","0.02720792274551029","0.02720792274551029","0.027239490234027313","0.027239490234027313","0.027239490234027313"
"7","0.03210010346747709","0.03210010346747709","0.03210010346747709","0.033008850706781376","0.033008850706781376","0.033008850706781376","0.015991729880296953","0.015991729880296953","0.015991729880296953","0.015993987888203606","0.015993987888203606","0.015993987888203606","0.01585416597834551","0.01585416597834551","0.01585416597834551","0.015095608843214646","0.015095608843214646","0.015095608843214646","0.01509423415430286","0.01509423415430286","0.01509423415430286","0.015046781533296161","0.015046781533296161","0.015046781533296161","0.03828083616063243","0.03828083616063243","0.03828083616063243","0.03822747614601611","0.03822747614601611","0.03822747614601611"
"8","0.04286183487861292","0.04286183487861292","0.04286183487861292","0.044003372329250855","0.044003372329250855","0.044003372329250855","0.016809323027582576","0.016809323027582576","0.016809323027582576","0.016788656261725463","0.016788656261725463","0.016788656261725463","0.016664899681392998","0.016664899681392998","0.016664899681392998","0.015085651325470333","0.015085651325470333","0.015085651325470333","0.015096961216977975","0.015096961216977975","0.015096961216977975","0.015044853602858095","0.015044853602858095","0.015044853602858095","0.05080391169244523","0.05080391169244523","0.05080391169244523","0.050853256705247485","0.050853256705247485","0.050853256705247485"
"9","0.05261092750600565","0.05261092750600565","0.05261092750600565","0.05358652681984671","0.05358652681984671","0.05358652681984671","0.018007269149745157","0.018007269149745157","0.018007269149745157","0.017994143420492093","0.017994143420492093","0.017994143420492093","0.017979210821122298","0.017979210821122298","0.017979210821122298","0.015125113793432897","0.015125113793432897","0.015125113793432897","0.015081812951283089","0.015081812951283089","0.015081812951283089","0.015037705202438708","0.015037705202438708","0.015037705202438708","0.06142727269563145","0.06142727269563145","0.06142727269563145","0.06139940219489844","0.06139940219489844","0.06139940219489844"
"10","0.060761103674022716","0.060761103674022716","0.060761103674022716","0.06110003961139187","0.06110003961139187","0.06110003961139187","0.01994369534307314","0.01994369534307314","0.01994369534307314","0.01994253013801792","0.01994253013801792","0.01994253013801792","0.019946868571484318","0.019946868571484318","0.019946868571484318","0.015120929820667433","0.015120929820667433","0.015120929820667433","0.015161281807797251","0.015161281807797251","0.015161281807797251","0.015033502609821893","0.015033502609821893","0.015033502609821893","0.06964629262327848","0.06964629262327848","0.06964629262327848","0.06979572105100013","0.06979572105100013","0.06979572105100013"