"Step","silvery-sweep-17 - fairness_valid/MAE_gap","silvery-sweep-17 - fairness_valid/MAE_gap__MIN","silvery-sweep-17 - fairness_valid/MAE_gap__MAX","fanciful-sweep-16 - fairness_valid/MAE_gap","fanciful-sweep-16 - fairness_valid/MAE_gap__MIN","fanciful-sweep-16 - fairness_valid/MAE_gap__MAX","charmed-sweep-15 - fairness_valid/MAE_gap","charmed-sweep-15 - fairness_valid/MAE_gap__MIN","charmed-sweep-15 - fairness_valid/MAE_gap__MAX","ruby-sweep-14 - fairness_valid/MAE_gap","ruby-sweep-14 - fairness_valid/MAE_gap__MIN","ruby-sweep-14 - fairness_valid/MAE_gap__MAX","dainty-sweep-13 - fairness_valid/MAE_gap","dainty-sweep-13 - fairness_valid/MAE_gap__MIN","dainty-sweep-13 - fairness_valid/MAE_gap__MAX","stellar-sweep-12 - fairness_valid/MAE_gap","stellar-sweep-12 - fairness_valid/MAE_gap__MIN","stellar-sweep-12 - fairness_valid/MAE_gap__MAX","super-sweep-11 - fairness_valid/MAE_gap","super-sweep-11 - fairness_valid/MAE_gap__MIN","super-sweep-11 - fairness_valid/MAE_gap__MAX","feasible-sweep-10 - fairness_valid/MAE_gap","feasible-sweep-10 - fairness_valid/MAE_gap__MIN","feasible-sweep-10 - fairness_valid/MAE_gap__MAX","misty-sweep-9 - fairness_valid/MAE_gap","misty-sweep-9 - fairness_valid/MAE_gap__MIN","misty-sweep-9 - fairness_valid/MAE_gap__MAX","gentle-sweep-8 - fairness_valid/MAE_gap","gentle-sweep-8 - fairness_valid/MAE_gap__MIN","gentle-sweep-8 - fairness_valid/MAE_gap__MAX"
"1","0.011599838733673096","0.011599838733673096","0.011599838733673096","0.011608302593231201","0.011608302593231201","0.011608302593231201","0.011586487293243408","0.011586487293243408","0.011586487293243408","0.011587321758270264","0.011587321758270264","0.011587321758270264","0.011591732501983643","0.011591732501983643","0.011591732501983643","0.011600792407989502","0.011600792407989502","0.011600792407989502","0.011600911617279053","0.011600911617279053","0.011600911617279053","0.011601746082305908","0.011601746082305908","0.011601746082305908","0.011848032474517822","0.011848032474517822","0.011848032474517822","0.0118483304977417","0.0118483304977417","0.0118483304977417"
"2","0.011628687381744385","0.011628687381744385","0.011628687381744385","0.011648118495941162","0.011648118495941162","0.011648118495941162","0.011576831340789795","0.011576831340789795","0.011576831340789795","0.011578381061553955","0.011578381061553955","0.011578381061553955","0.01158982515335083","0.01158982515335083","0.01158982515335083","0.011594057083129883","0.011594057083129883","0.011594057083129883","0.01159435510635376","0.01159435510635376","0.01159435510635376","0.011596381664276123","0.011596381664276123","0.011596381664276123","0.012003004550933838","0.012003004550933838","0.012003004550933838","0.01200193166732788","0.01200193166732788","0.01200193166732788"
"3","0.011931657791137695","0.011931657791137695","0.011931657791137695","0.011938989162445068","0.011938989162445068","0.011938989162445068","0.011601090431213379","0.011601090431213379","0.011601090431213379","0.011603295803070068","0.011603295803070068","0.011603295803070068","0.011619985103607178","0.011619985103607178","0.011619985103607178","0.011591196060180664","0.011591196060180664","0.011591196060180664","0.011591494083404541","0.011591494083404541","0.011591494083404541","0.011595010757446289","0.011595010757446289","0.011595010757446289","0.012444138526916504","0.012444138526916504","0.012444138526916504","0.012439966201782227","0.012439966201782227","0.012439966201782227"
"4","0.013018608093261719","0.013018608093261719","0.013018608093261719","0.012977659702301025","0.012977659702301025","0.012977659702301025","0.011633455753326416","0.011633455753326416","0.011633455753326416","0.011636018753051758","0.011636018753051758","0.011636018753051758","0.011655092239379883","0.011655092239379883","0.011655092239379883","0.011586368083953857","0.011586368083953857","0.011586368083953857","0.011586904525756836","0.011586904525756836","0.011586904525756836","0.011591851711273193","0.011591851711273193","0.011591851711273193","0.013963460922241211","0.013963460922241211","0.013963460922241211","0.013959228992462158","0.013959228992462158","0.013959228992462158"
"5","0.015956461429595947","0.015956461429595947","0.015956461429595947","0.01595747470855713","0.01595747470855713","0.01595747470855713","0.011721968650817871","0.011721968650817871","0.011721968650817871","0.011724531650543213","0.011724531650543213","0.011724531650543213","0.011741101741790771","0.011741101741790771","0.011741101741790771","0.011580884456634521","0.011580884456634521","0.011580884456634521","0.011581659317016602","0.011581659317016602","0.011581659317016602","0.011588096618652344","0.011588096618652344","0.011588096618652344","0.018092215061187744","0.018092215061187744","0.018092215061187744","0.018101394176483154","0.018101394176483154","0.018101394176483154"
"6","0.02254021167755127","0.02254021167755127","0.02254021167755127","0.02277141809463501","0.02277141809463501","0.02277141809463501","0.012028634548187256","0.012028634548187256","0.012028634548187256","0.012030303478240967","0.012030303478240967","0.012030303478240967","0.012028872966766357","0.012028872966766357","0.012028872966766357","0.011580944061279297","0.011580944061279297","0.011580944061279297","0.011581778526306152","0.011581778526306152","0.011581778526306152","0.011589765548706055","0.011589765548706055","0.011589765548706055","0.025820434093475342","0.025820434093475342","0.025820434093475342","0.02584397792816162","0.02584397792816162","0.02584397792816162"
"7","0.028000861406326294","0.028000861406326294","0.028000861406326294","0.02830129861831665","0.02830129861831665","0.02830129861831665","0.012584924697875977","0.012584924697875977","0.012584924697875977","0.012585043907165527","0.012585043907165527","0.012585043907165527","0.012553095817565918","0.012553095817565918","0.012553095817565918","0.011578083038330078","0.011578083038330078","0.011578083038330078","0.011579036712646484","0.011579036712646484","0.011579036712646484","0.011588573455810547","0.011588573455810547","0.011588573455810547","0.030932068824768066","0.030932068824768066","0.030932068824768066","0.030937373638153076","0.030937373638153076","0.030937373638153076"
"8","0.028386324644088745","0.028386324644088745","0.028386324644088745","0.027683645486831665","0.027683645486831665","0.027683645486831665","0.013659298419952393","0.013659298419952393","0.013659298419952393","0.013659179210662842","0.013659179210662842","0.013659179210662842","0.01360398530960083","0.01360398530960083","0.01360398530960083","0.011575281620025635","0.011575281620025635","0.011575281620025635","0.011576235294342041","0.011576235294342041","0.011576235294342041","0.01158750057220459","0.01158750057220459","0.01158750057220459","0.02820536494255066","0.02820536494255066","0.02820536494255066","0.028124898672103882","0.028124898672103882","0.028124898672103882"
"9","0.020154327154159546","0.020154327154159546","0.020154327154159546","0.018843382596969604","0.018843382596969604","0.018843382596969604","0.015431880950927734","0.015431880950927734","0.015431880950927734","0.015435516834259033","0.015435516834259033","0.015435516834259033","0.01538628339767456","0.01538628339767456","0.01538628339767456","0.011575400829315186","0.011575400829315186","0.011575400829315186","0.011576712131500244","0.011576712131500244","0.011576712131500244","0.011589467525482178","0.011589467525482178","0.011589467525482178","0.015566796064376831","0.015566796064376831","0.015566796064376831","0.015425831079483032","0.015425831079483032","0.015425831079483032"
"10","0.007390826940536499","0.007390826940536499","0.007390826940536499","0.005924999713897705","0.005924999713897705","0.005924999713897705","0.01804947853088379","0.01804947853088379","0.01804947853088379","0.018057823181152344","0.018057823181152344","0.018057823181152344","0.018050193786621094","0.018050193786621094","0.018050193786621094","0.011574089527130127","0.011574089527130127","0.011574089527130127","0.011575698852539062","0.011575698852539062","0.011575698852539062","0.01158982515335083","0.01158982515335083","0.01158982515335083","0.0013218224048614502","0.0013218224048614502","0.0013218224048614502","0.0012052059173583984","0.0012052059173583984","0.0012052059173583984"