"Step","silvery-sweep-17 - accuracy_valid/ndcg@10","silvery-sweep-17 - accuracy_valid/ndcg@10__MIN","silvery-sweep-17 - accuracy_valid/ndcg@10__MAX","fanciful-sweep-16 - accuracy_valid/ndcg@10","fanciful-sweep-16 - accuracy_valid/ndcg@10__MIN","fanciful-sweep-16 - accuracy_valid/ndcg@10__MAX","charmed-sweep-15 - accuracy_valid/ndcg@10","charmed-sweep-15 - accuracy_valid/ndcg@10__MIN","charmed-sweep-15 - accuracy_valid/ndcg@10__MAX","ruby-sweep-14 - accuracy_valid/ndcg@10","ruby-sweep-14 - accuracy_valid/ndcg@10__MIN","ruby-sweep-14 - accuracy_valid/ndcg@10__MAX","dainty-sweep-13 - accuracy_valid/ndcg@10","dainty-sweep-13 - accuracy_valid/ndcg@10__MIN","dainty-sweep-13 - accuracy_valid/ndcg@10__MAX","stellar-sweep-12 - accuracy_valid/ndcg@10","stellar-sweep-12 - accuracy_valid/ndcg@10__MIN","stellar-sweep-12 - accuracy_valid/ndcg@10__MAX","super-sweep-11 - accuracy_valid/ndcg@10","super-sweep-11 - accuracy_valid/ndcg@10__MIN","super-sweep-11 - accuracy_valid/ndcg@10__MAX","feasible-sweep-10 - accuracy_valid/ndcg@10","feasible-sweep-10 - accuracy_valid/ndcg@10__MIN","feasible-sweep-10 - accuracy_valid/ndcg@10__MAX","misty-sweep-9 - accuracy_valid/ndcg@10","misty-sweep-9 - accuracy_valid/ndcg@10__MIN","misty-sweep-9 - accuracy_valid/ndcg@10__MAX","gentle-sweep-8 - accuracy_valid/ndcg@10","gentle-sweep-8 - accuracy_valid/ndcg@10__MIN","gentle-sweep-8 - accuracy_valid/ndcg@10__MAX"
"1","0.0069","0.0069","0.0069","0.006","0.006","0.006","0.0068","0.0068","0.0068","0.0068","0.0068","0.0068","0.0066","0.0066","0.0066","0.0071","0.0071","0.0071","0.0071","0.0071","0.0071","0.007","0.007","0.007","0.0066","0.0066","0.0066","0.0066","0.0066","0.0066"
"2","0.0079","0.0079","0.0079","0.0066","0.0066","0.0066","0.007","0.007","0.007","0.0069","0.0069","0.0069","0.0062","0.0062","0.0062","0.0072","0.0072","0.0072","0.0072","0.0072","0.0072","0.0069","0.0069","0.0069","0.0097","0.0097","0.0097","0.0095","0.0095","0.0095"
"3","0.016","0.016","0.016","0.015","0.015","0.015","0.0077","0.0077","0.0077","0.0076","0.0076","0.0076","0.0063","0.0063","0.0063","0.0071","0.0071","0.0071","0.007","0.007","0.007","0.0069","0.0069","0.0069","0.0211","0.0211","0.0211","0.021","0.021","0.021"
"4","0.0346","0.0346","0.0346","0.0369","0.0369","0.0369","0.0084","0.0084","0.0084","0.0082","0.0082","0.0082","0.007","0.007","0.007","0.0072","0.0072","0.0072","0.0071","0.0071","0.0071","0.0066","0.0066","0.0066","0.0395","0.0395","0.0395","0.0397","0.0397","0.0397"
"5","0.0497","0.0497","0.0497","0.0541","0.0541","0.0541","0.0136","0.0136","0.0136","0.0134","0.0134","0.0134","0.0117","0.0117","0.0117","0.0071","0.0071","0.0071","0.0071","0.0071","0.0071","0.0068","0.0068","0.0068","0.0542","0.0542","0.0542","0.0547","0.0547","0.0547"
"6","0.0644","0.0644","0.0644","0.0662","0.0662","0.0662","0.0218","0.0218","0.0218","0.0218","0.0218","0.0218","0.0215","0.0215","0.0215","0.007","0.007","0.007","0.007","0.007","0.007","0.0065","0.0065","0.0065","0.0629","0.0629","0.0629","0.0637","0.0637","0.0637"
"7","0.0718","0.0718","0.0718","0.0746","0.0746","0.0746","0.0338","0.0338","0.0338","0.0337","0.0337","0.0337","0.0349","0.0349","0.0349","0.0067","0.0067","0.0067","0.0066","0.0066","0.0066","0.0066","0.0066","0.0066","0.0706","0.0706","0.0706","0.0709","0.0709","0.0709"
"8","0.0768","0.0768","0.0768","0.0772","0.0772","0.0772","0.0413","0.0413","0.0413","0.0416","0.0416","0.0416","0.0431","0.0431","0.0431","0.0069","0.0069","0.0069","0.0067","0.0067","0.0067","0.0064","0.0064","0.0064","0.0747","0.0747","0.0747","0.0751","0.0751","0.0751"
"9","0.0812","0.0812","0.0812","0.0811","0.0811","0.0811","0.0489","0.0489","0.0489","0.0491","0.0491","0.0491","0.0513","0.0513","0.0513","0.0067","0.0067","0.0067","0.0068","0.0068","0.0068","0.0062","0.0062","0.0062","0.079","0.079","0.079","0.0798","0.0798","0.0798"
"10","0.0816","0.0816","0.0816","0.084","0.084","0.084","0.0551","0.0551","0.0551","0.0552","0.0552","0.0552","0.0573","0.0573","0.0573","0.0071","0.0071","0.0071","0.0068","0.0068","0.0068","0.0062","0.0062","0.0062","0.0818","0.0818","0.0818","0.0817","0.0817","0.0817"