"Step","silvery-sweep-17 - accuracy_valid/precision@10","silvery-sweep-17 - accuracy_valid/precision@10__MIN","silvery-sweep-17 - accuracy_valid/precision@10__MAX","fanciful-sweep-16 - accuracy_valid/precision@10","fanciful-sweep-16 - accuracy_valid/precision@10__MIN","fanciful-sweep-16 - accuracy_valid/precision@10__MAX","charmed-sweep-15 - accuracy_valid/precision@10","charmed-sweep-15 - accuracy_valid/precision@10__MIN","charmed-sweep-15 - accuracy_valid/precision@10__MAX","ruby-sweep-14 - accuracy_valid/precision@10","ruby-sweep-14 - accuracy_valid/precision@10__MIN","ruby-sweep-14 - accuracy_valid/precision@10__MAX","dainty-sweep-13 - accuracy_valid/precision@10","dainty-sweep-13 - accuracy_valid/precision@10__MIN","dainty-sweep-13 - accuracy_valid/precision@10__MAX","stellar-sweep-12 - accuracy_valid/precision@10","stellar-sweep-12 - accuracy_valid/precision@10__MIN","stellar-sweep-12 - accuracy_valid/precision@10__MAX","super-sweep-11 - accuracy_valid/precision@10","super-sweep-11 - accuracy_valid/precision@10__MIN","super-sweep-11 - accuracy_valid/precision@10__MAX","feasible-sweep-10 - accuracy_valid/precision@10","feasible-sweep-10 - accuracy_valid/precision@10__MIN","feasible-sweep-10 - accuracy_valid/precision@10__MAX","misty-sweep-9 - accuracy_valid/precision@10","misty-sweep-9 - accuracy_valid/precision@10__MIN","misty-sweep-9 - accuracy_valid/precision@10__MAX","gentle-sweep-8 - accuracy_valid/precision@10","gentle-sweep-8 - accuracy_valid/precision@10__MIN","gentle-sweep-8 - accuracy_valid/precision@10__MAX"
"1","0.005","0.005","0.005","0.0045","0.0045","0.0045","0.0051","0.0051","0.0051","0.0051","0.0051","0.0051","0.0049","0.0049","0.0049","0.0054","0.0054","0.0054","0.0054","0.0054","0.0054","0.0053","0.0053","0.0053","0.006","0.006","0.006","0.006","0.006","0.006"
"2","0.0056","0.0056","0.0056","0.0047","0.0047","0.0047","0.0049","0.0049","0.0049","0.0048","0.0048","0.0048","0.004","0.004","0.004","0.0055","0.0055","0.0055","0.0054","0.0054","0.0054","0.0052","0.0052","0.0052","0.0081","0.0081","0.0081","0.0081","0.0081","0.0081"
"3","0.012","0.012","0.012","0.0119","0.0119","0.0119","0.0052","0.0052","0.0052","0.005","0.005","0.005","0.0037","0.0037","0.0037","0.0053","0.0053","0.0053","0.0052","0.0052","0.0052","0.005","0.005","0.005","0.0177","0.0177","0.0177","0.0177","0.0177","0.0177"
"4","0.0269","0.0269","0.0269","0.028","0.028","0.028","0.0062","0.0062","0.0062","0.0059","0.0059","0.0059","0.0051","0.0051","0.0051","0.0053","0.0053","0.0053","0.0053","0.0053","0.0053","0.0048","0.0048","0.0048","0.0313","0.0313","0.0313","0.0315","0.0315","0.0315"
"5","0.0375","0.0375","0.0375","0.0415","0.0415","0.0415","0.0105","0.0105","0.0105","0.0104","0.0104","0.0104","0.009","0.009","0.009","0.0053","0.0053","0.0053","0.0053","0.0053","0.0053","0.0052","0.0052","0.0052","0.0397","0.0397","0.0397","0.0402","0.0402","0.0402"
"6","0.048","0.048","0.048","0.0489","0.0489","0.0489","0.0165","0.0165","0.0165","0.0166","0.0166","0.0166","0.0166","0.0166","0.0166","0.0052","0.0052","0.0052","0.0051","0.0051","0.0051","0.0048","0.0048","0.0048","0.0438","0.0438","0.0438","0.0443","0.0443","0.0443"
"7","0.0509","0.0509","0.0509","0.0516","0.0516","0.0516","0.0267","0.0267","0.0267","0.0266","0.0266","0.0266","0.0273","0.0273","0.0273","0.0047","0.0047","0.0047","0.0047","0.0047","0.0047","0.0048","0.0048","0.0048","0.0477","0.0477","0.0477","0.048","0.048","0.048"
"8","0.0538","0.0538","0.0538","0.0527","0.0527","0.0527","0.0313","0.0313","0.0313","0.0315","0.0315","0.0315","0.032","0.032","0.032","0.0051","0.0051","0.0051","0.0049","0.0049","0.0049","0.0047","0.0047","0.0047","0.0495","0.0495","0.0495","0.0503","0.0503","0.0503"
"9","0.0554","0.0554","0.0554","0.0551","0.0551","0.0551","0.037","0.037","0.037","0.0372","0.0372","0.0372","0.0392","0.0392","0.0392","0.0049","0.0049","0.0049","0.0049","0.0049","0.0049","0.0045","0.0045","0.0045","0.0523","0.0523","0.0523","0.0527","0.0527","0.0527"
"10","0.0555","0.0555","0.0555","0.0572","0.0572","0.0572","0.0424","0.0424","0.0424","0.0426","0.0426","0.0426","0.0448","0.0448","0.0448","0.0052","0.0052","0.0052","0.0051","0.0051","0.0051","0.0045","0.0045","0.0045","0.0539","0.0539","0.0539","0.0538","0.0538","0.0538"