"Step","silvery-sweep-17 - train/struct_loss","silvery-sweep-17 - train/struct_loss__MIN","silvery-sweep-17 - train/struct_loss__MAX","fanciful-sweep-16 - train/struct_loss","fanciful-sweep-16 - train/struct_loss__MIN","fanciful-sweep-16 - train/struct_loss__MAX","charmed-sweep-15 - train/struct_loss","charmed-sweep-15 - train/struct_loss__MIN","charmed-sweep-15 - train/struct_loss__MAX","ruby-sweep-14 - train/struct_loss","ruby-sweep-14 - train/struct_loss__MIN","ruby-sweep-14 - train/struct_loss__MAX","dainty-sweep-13 - train/struct_loss","dainty-sweep-13 - train/struct_loss__MIN","dainty-sweep-13 - train/struct_loss__MAX","stellar-sweep-12 - train/struct_loss","stellar-sweep-12 - train/struct_loss__MIN","stellar-sweep-12 - train/struct_loss__MAX","super-sweep-11 - train/struct_loss","super-sweep-11 - train/struct_loss__MIN","super-sweep-11 - train/struct_loss__MAX","feasible-sweep-10 - train/struct_loss","feasible-sweep-10 - train/struct_loss__MIN","feasible-sweep-10 - train/struct_loss__MAX","misty-sweep-9 - train/struct_loss","misty-sweep-9 - train/struct_loss__MIN","misty-sweep-9 - train/struct_loss__MAX","gentle-sweep-8 - train/struct_loss","gentle-sweep-8 - train/struct_loss__MIN","gentle-sweep-8 - train/struct_loss__MAX"
"1","25.202620208263397","25.202620208263397","25.202620208263397","25.20367270708084","25.20367270708084","25.20367270708084","27.03296136856079","27.03296136856079","27.03296136856079","27.032807886600494","27.032807886600494","27.032807886600494","27.033772587776184","27.033772587776184","27.033772587776184","29.348047375679016","29.348047375679016","29.348047375679016","29.34802222251892","29.34802222251892","29.34802222251892","29.348119974136353","29.348119974136353","29.348119974136353","26.868013739585876","26.868013739585876","26.868013739585876","26.86807155609131","26.86807155609131","26.86807155609131"
"2","13.864803463220596","13.864803463220596","13.864803463220596","13.864184767007828","13.864184767007828","13.864184767007828","17.935848891735077","17.935848891735077","17.935848891735077","17.93560156226158","17.93560156226158","17.93560156226158","17.93527302145958","17.93527302145958","17.93527302145958","26.6092249751091","26.6092249751091","26.6092249751091","26.60922145843506","26.60922145843506","26.60922145843506","26.609148740768433","26.609148740768433","26.609148740768433","15.178849697113037","15.178849697113037","15.178849697113037","15.17876148223877","15.17876148223877","15.17876148223877"
"3","9.737043976783752","9.737043976783752","9.737043976783752","9.73671643435955","9.73671643435955","9.73671643435955","12.878276377916336","12.878276377916336","12.878276377916336","12.877693712711334","12.877693712711334","12.877693712711334","12.876905292272568","12.876905292272568","12.876905292272568","24.290278017520905","24.290278017520905","24.290278017520905","24.290263831615448","24.290263831615448","24.290263831615448","24.290298759937286","24.290298759937286","24.290298759937286","10.673642247915268","10.673642247915268","10.673642247915268","10.673598200082779","10.673598200082779","10.673598200082779"
"4","7.806097626686096","7.806097626686096","7.806097626686096","7.804724708199501","7.804724708199501","7.804724708199501","10.06317575275898","10.06317575275898","10.06317575275898","10.062710985541344","10.062710985541344","10.062710985541344","10.061818614602089","10.061818614602089","10.061818614602089","22.079636573791504","22.079636573791504","22.079636573791504","22.079625964164734","22.079625964164734","22.079625964164734","22.079587936401367","22.079587936401367","22.079587936401367","8.314894214272499","8.314894214272499","8.314894214272499","8.3152856528759","8.3152856528759","8.3152856528759"
"5","6.682900056242943","6.682900056242943","6.682900056242943","6.680830463767052","6.680830463767052","6.680830463767052","8.300355389714241","8.300355389714241","8.300355389714241","8.300134405493736","8.300134405493736","8.300134405493736","8.299084097146988","8.299084097146988","8.299084097146988","20.07587045431137","20.07587045431137","20.07587045431137","20.075855880975723","20.075855880975723","20.075855880975723","20.075683742761612","20.075683742761612","20.075683742761612","7.016488090157509","7.016488090157509","7.016488090157509","7.0167955458164215","7.0167955458164215","7.0167955458164215"
"6","5.97553388774395","5.97553388774395","5.97553388774395","5.973506182432175","5.973506182432175","5.973506182432175","7.245923548936844","7.245923548936844","7.245923548936844","7.245790392160416","7.245790392160416","7.245790392160416","7.244649976491928","7.244649976491928","7.244649976491928","18.265290439128876","18.265290439128876","18.265290439128876","18.26525005698204","18.26525005698204","18.26525005698204","18.264947026968002","18.264947026968002","18.264947026968002","6.191029414534569","6.191029414534569","6.191029414534569","6.191148668527603","6.191148668527603","6.191148668527603"
"7","5.47281177341938","5.47281177341938","5.47281177341938","5.471777603030205","5.471777603030205","5.471777603030205","6.472902983427048","6.472902983427048","6.472902983427048","6.472876474261284","6.472876474261284","6.472876474261284","6.472212478518486","6.472212478518486","6.472212478518486","16.589500546455383","16.589500546455383","16.589500546455383","16.589451879262924","16.589451879262924","16.589451879262924","16.589216738939285","16.589216738939285","16.589216738939285","5.649800390005112","5.649800390005112","5.649800390005112","5.6497122049331665","5.6497122049331665","5.6497122049331665"
"8","5.0907962173223495","5.0907962173223495","5.0907962173223495","5.089619517326355","5.089619517326355","5.089619517326355","5.927791565656662","5.927791565656662","5.927791565656662","5.927718862891197","5.927718862891197","5.927718862891197","5.927208766341209","5.927208766341209","5.927208766341209","15.09608742594719","15.09608742594719","15.09608742594719","15.096035212278366","15.096035212278366","15.096035212278366","15.095772117376328","15.095772117376328","15.095772117376328","5.25826632976532","5.25826632976532","5.25826632976532","5.258141949772835","5.258141949772835","5.258141949772835"
"9","4.844134911894798","4.844134911894798","4.844134911894798","4.843587547540665","4.843587547540665","4.843587547540665","5.505140379071236","5.505140379071236","5.505140379071236","5.505110174417496","5.505110174417496","5.505110174417496","5.504534065723419","5.504534065723419","5.504534065723419","13.824463903903961","13.824463903903961","13.824463903903961","13.824420303106308","13.824420303106308","13.824420303106308","13.824191242456436","13.824191242456436","13.824191242456436","4.962342321872711","4.962342321872711","4.962342321872711","4.962543688714504","4.962543688714504","4.962543688714504"
"10","4.636579319834709","4.636579319834709","4.636579319834709","4.635572120547295","4.635572120547295","4.635572120547295","5.169900320470333","5.169900320470333","5.169900320470333","5.169926628470421","5.169926628470421","5.169926628470421","5.169653795659542","5.169653795659542","5.169653795659542","12.748380362987518","12.748380362987518","12.748380362987518","12.74834418296814","12.74834418296814","12.74834418296814","12.74807596206665","12.74807596206665","12.74807596206665","4.7890824899077415","4.7890824899077415","4.7890824899077415","4.788997530937195","4.788997530937195","4.788997530937195"