"Step","silvery-sweep-17 - fairness_valid/U_over","silvery-sweep-17 - fairness_valid/U_over__MIN","silvery-sweep-17 - fairness_valid/U_over__MAX","fanciful-sweep-16 - fairness_valid/U_over","fanciful-sweep-16 - fairness_valid/U_over__MIN","fanciful-sweep-16 - fairness_valid/U_over__MAX","charmed-sweep-15 - fairness_valid/U_over","charmed-sweep-15 - fairness_valid/U_over__MIN","charmed-sweep-15 - fairness_valid/U_over__MAX","ruby-sweep-14 - fairness_valid/U_over","ruby-sweep-14 - fairness_valid/U_over__MIN","ruby-sweep-14 - fairness_valid/U_over__MAX","dainty-sweep-13 - fairness_valid/U_over","dainty-sweep-13 - fairness_valid/U_over__MIN","dainty-sweep-13 - fairness_valid/U_over__MAX","stellar-sweep-12 - fairness_valid/U_over","stellar-sweep-12 - fairness_valid/U_over__MIN","stellar-sweep-12 - fairness_valid/U_over__MAX","super-sweep-11 - fairness_valid/U_over","super-sweep-11 - fairness_valid/U_over__MIN","super-sweep-11 - fairness_valid/U_over__MAX","feasible-sweep-10 - fairness_valid/U_over","feasible-sweep-10 - fairness_valid/U_over__MIN","feasible-sweep-10 - fairness_valid/U_over__MAX","misty-sweep-9 - fairness_valid/U_over","misty-sweep-9 - fairness_valid/U_over__MIN","misty-sweep-9 - fairness_valid/U_over__MAX","gentle-sweep-8 - fairness_valid/U_over","gentle-sweep-8 - fairness_valid/U_over__MIN","gentle-sweep-8 - fairness_valid/U_over__MAX"
"1","0.00021989594211069909","0.00021989594211069909","0.00021989594211069909","0.00020542229440122375","0.00020542229440122375","0.00020542229440122375","0.00020877237724848373","0.00020877237724848373","0.00020877237724848373","0.00020816088951748144","0.00020816088951748144","0.00020816088951748144","0.00020110625916617297","0.00020110625916617297","0.00020110625916617297","0.00020149083370601335","0.00020149083370601335","0.00020149083370601335","0.00020135380425611847","0.00020135380425611847","0.00020135380425611847","0.00019994194811653374","0.00019994194811653374","0.00019994194811653374","0.00024271781905619511","0.00024271781905619511","0.00024271781905619511","0.0002410790720816288","0.0002410790720816288","0.0002410790720816288"
"2","0.00023114072609124148","0.00023114072609124148","0.00023114072609124148","0.00020150945139453568","0.00020150945139453568","0.00020150945139453568","0.00021195978288913946","0.00021195978288913946","0.00021195978288913946","0.00021054570252174485","0.00021054570252174485","0.00021054570252174485","0.0001961190098406288","0.0001961190098406288","0.0001961190098406288","0.0002009573680328329","0.0002009573680328329","0.0002009573680328329","0.00020067963994533462","0.00020067963994533462","0.00020067963994533462","0.00019786858584973068","0.00019786858584973068","0.00019786858584973068","0.0002186488049497234","0.0002186488049497234","0.0002186488049497234","0.00021552687312432865","0.00021552687312432865","0.00021552687312432865"
"3","0.00024030288215139153","0.00024030288215139153","0.00024030288215139153","0.00019484330668259817","0.00019484330668259817","0.00019484330668259817","0.00021343667651906522","0.00021343667651906522","0.00021343667651906522","0.00021130828187065443","0.00021130828187065443","0.00021130828187065443","0.0001899132123600795","0.0001899132123600795","0.0001899132123600795","0.00020095068688016413","0.00020095068688016413","0.00020095068688016413","0.0002005325889377796","0.0002005325889377796","0.0002005325889377796","0.00019632294025825127","0.00019632294025825127","0.00019632294025825127","0.0001513323705695112","0.0001513323705695112","0.0001513323705695112","0.0001476899017928414","0.0001476899017928414","0.0001476899017928414"
"4","0.00023125715751930932","0.00023125715751930932","0.00023125715751930932","0.00017336645773380894","0.00017336645773380894","0.00017336645773380894","0.00021133699866177796","0.00021133699866177796","0.00021133699866177796","0.00020855156969337013","0.00020855156969337013","0.00020855156969337013","0.00018070816381382494","0.00018070816381382494","0.00018070816381382494","0.00020005302977590776","0.00020005302977590776","0.00020005302977590776","0.00019949460726214106","0.00019949460726214106","0.00019949460726214106","0.00019387547302222752","0.00019387547302222752","0.00019387547302222752","0.0001331161248636306","0.0001331161248636306","0.0001331161248636306","0.00012998136166974479","0.00012998136166974479","0.00012998136166974479"
"5","0.0002599161233215634","0.0002599161233215634","0.0002599161233215634","0.00020840481545187102","0.00020840481545187102","0.00020840481545187102","0.00020781193916761075","0.00020781193916761075","0.00020781193916761075","0.0002043172413694944","0.0002043172413694944","0.0002043172413694944","0.0001701774624708172","0.0001701774624708172","0.0001701774624708172","0.00019915215406704717","0.00019915215406704717","0.00019915215406704717","0.00019845899352212448","0.00019845899352212448","0.00019845899352212448","0.00019150215962919728","0.00019150215962919728","0.00019150215962919728","0.00017955381802343541","0.00017955381802343541","0.00017955381802343541","0.00017804046329095196","0.00017804046329095196","0.00017804046329095196"
"6","0.0004997371313693996","0.0004997371313693996","0.0004997371313693996","0.0004488354161283028","0.0004488354161283028","0.0004488354161283028","0.0002082697023019583","0.0002082697023019583","0.0002082697023019583","0.00020428813018352797","0.00020428813018352797","0.00020428813018352797","0.00016477543534045214","0.00016477543534045214","0.00016477543534045214","0.0001985656872589088","0.0001985656872589088","0.0001985656872589088","0.00019773759557928223","0.00019773759557928223","0.00019773759557928223","0.00018944185093214424","0.00018944185093214424","0.00018944185093214424","0.0005549606087360791","0.0005549606087360791","0.0005549606087360791","0.0005573879951939616","0.0005573879951939616","0.0005573879951939616"
"7","0.0011815619104697712","0.0011815619104697712","0.0011815619104697712","0.0012166336932558203","0.0012166336932558203","0.0012166336932558203","0.0002066483659453571","0.0002066483659453571","0.0002066483659453571","0.0002018879667078","0.0002018879667078","0.0002018879667078","0.0001551662980993196","0.0001551662980993196","0.0001551662980993196","0.0001979093086930059","0.0001979093086930059","0.0001979093086930059","0.0001969495516760342","0.0001969495516760342","0.0001969495516760342","0.00018736878907855498","0.00018736878907855498","0.00018736878907855498","0.001923266787478731","0.001923266787478731","0.001923266787478731","0.0019390048412446926","0.0019390048412446926","0.0019390048412446926"
"8","0.006378337629205031","0.006378337629205031","0.006378337629205031","0.007829821115649525","0.007829821115649525","0.007829821115649525","0.0001937263257311198","0.0001937263257311198","0.0001937263257311198","0.00018907312757693564","0.00018907312757693564","0.00018907312757693564","0.00014597653858582947","0.00014597653858582947","0.00014597653858582947","0.00019747882235882986","0.00019747882235882986","0.00019747882235882986","0.0001963859635872862","0.0001963859635872862","0.0001963859635872862","0.00018548852876862677","0.00018548852876862677","0.00018548852876862677","0.010971340922485594","0.010971340922485594","0.010971340922485594","0.011114961570183868","0.011114961570183868","0.011114961570183868"
"9","0.02214963901445533","0.02214963901445533","0.02214963901445533","0.02421469370212134","0.02421469370212134","0.02421469370212134","0.0002139541404705598","0.0002139541404705598","0.0002139541404705598","0.00020966274547096908","0.00020966274547096908","0.00020966274547096908","0.00016400936651815126","0.00016400936651815126","0.00016400936651815126","0.00019794733308003455","0.00019794733308003455","0.00019794733308003455","0.0001967192213916548","0.0001967192213916548","0.0001967192213916548","0.00018449249227266504","0.00018449249227266504","0.00018449249227266504","0.025961240010863803","0.025961240010863803","0.025961240010863803","0.02611008582682509","0.02611008582682509","0.02611008582682509"
"10","0.03516742293041471","0.03516742293041471","0.03516742293041471","0.03660874561129106","0.03660874561129106","0.03660874561129106","0.0002644779725561092","0.0002644779725561092","0.0002644779725561092","0.0002603506684284485","0.0002603506684284485","0.0002603506684284485","0.00021704313869269282","0.00021704313869269282","0.00021704313869269282","0.00019767439907144118","0.00019767439907144118","0.00019767439907144118","0.00019631375784063797","0.00019631375784063797","0.00019631375784063797","0.0001827899909138059","0.0001827899909138059","0.0001827899909138059","0.03778661220536987","0.03778661220536987","0.03778661220536987","0.037895195064268306","0.037895195064268306","0.037895195064268306"