"Step","silvery-sweep-17 - fairness_valid/Var_err","silvery-sweep-17 - fairness_valid/Var_err__MIN","silvery-sweep-17 - fairness_valid/Var_err__MAX","fanciful-sweep-16 - fairness_valid/Var_err","fanciful-sweep-16 - fairness_valid/Var_err__MIN","fanciful-sweep-16 - fairness_valid/Var_err__MAX","charmed-sweep-15 - fairness_valid/Var_err","charmed-sweep-15 - fairness_valid/Var_err__MIN","charmed-sweep-15 - fairness_valid/Var_err__MAX","ruby-sweep-14 - fairness_valid/Var_err","ruby-sweep-14 - fairness_valid/Var_err__MIN","ruby-sweep-14 - fairness_valid/Var_err__MAX","dainty-sweep-13 - fairness_valid/Var_err","dainty-sweep-13 - fairness_valid/Var_err__MIN","dainty-sweep-13 - fairness_valid/Var_err__MAX","stellar-sweep-12 - fairness_valid/Var_err","stellar-sweep-12 - fairness_valid/Var_err__MIN","stellar-sweep-12 - fairness_valid/Var_err__MAX","super-sweep-11 - fairness_valid/Var_err","super-sweep-11 - fairness_valid/Var_err__MIN","super-sweep-11 - fairness_valid/Var_err__MAX","feasible-sweep-10 - fairness_valid/Var_err","feasible-sweep-10 - fairness_valid/Var_err__MIN","feasible-sweep-10 - fairness_valid/Var_err__MAX","misty-sweep-9 - fairness_valid/Var_err","misty-sweep-9 - fairness_valid/Var_err__MIN","misty-sweep-9 - fairness_valid/Var_err__MAX","gentle-sweep-8 - fairness_valid/Var_err","gentle-sweep-8 - fairness_valid/Var_err__MIN","gentle-sweep-8 - fairness_valid/Var_err__MAX"
"1","0.05518693545838162","0.05518693545838162","0.05518693545838162","0.05520588906094821","0.05520588906094821","0.05520588906094821","0.055208616158810814","0.055208616158810814","0.055208616158810814","0.05520954856167473","0.05520954856167473","0.05520954856167473","0.0552188809778491","0.0552188809778491","0.0552188809778491","0.05522269860928706","0.05522269860928706","0.05522269860928706","0.055222888168710606","0.055222888168710606","0.055222888168710606","0.055224715652656985","0.055224715652656985","0.055224715652656985","0.05534384723645882","0.05534384723645882","0.05534384723645882","0.05534489719912502","0.05534489719912502","0.05534489719912502"
"2","0.05513993374816905","0.05513993374816905","0.05513993374816905","0.05518263835327507","0.05518263835327507","0.05518263835327507","0.05520057451632973","0.05520057451632973","0.05520057451632973","0.05520258294328876","0.05520258294328876","0.05520258294328876","0.05522267651527269","0.05522267651527269","0.05522267651527269","0.055222045725177464","0.055222045725177464","0.055222045725177464","0.055222438811123056","0.055222438811123056","0.055222438811123056","0.055226338257269025","0.055226338257269025","0.055226338257269025","0.055294097711456644","0.055294097711456644","0.055294097711456644","0.05529612311534225","0.05529612311534225","0.05529612311534225"
"3","0.05496032219414638","0.05496032219414638","0.05496032219414638","0.05503140452699163","0.05503140452699163","0.05503140452699163","0.055172771226607215","0.055172771226607215","0.055172771226607215","0.055175876379270565","0.055175876379270565","0.055175876379270565","0.05520749975340559","0.05520749975340559","0.05520749975340559","0.05521785188544519","0.05521785188544519","0.05521785188544519","0.055218456351945444","0.055218456351945444","0.055218456351945444","0.05522446805151944","0.05522446805151944","0.05522446805151944","0.05501030950204686","0.05501030950204686","0.05501030950204686","0.05501319074865555","0.05501319074865555","0.05501319074865555"
"4","0.05429400593955514","0.05429400593955514","0.05429400593955514","0.054375134637613745","0.054375134637613745","0.054375134637613745","0.05512624160733613","0.05512624160733613","0.05512624160733613","0.05513059291908536","0.05513059291908536","0.05513059291908536","0.055175721221825874","0.055175721221825874","0.055175721221825874","0.055212918050367536","0.055212918050367536","0.055212918050367536","0.055213735101826915","0.055213735101826915","0.055213735101826915","0.055221890880976884","0.055221890880976884","0.055221890880976884","0.05403966294056429","0.05403966294056429","0.05403966294056429","0.0540400326078683","0.0540400326078683","0.0540400326078683"
"5","0.05246195873970429","0.05246195873970429","0.05246195873970429","0.05240893409162807","0.05240893409162807","0.05240893409162807","0.05505048853863155","0.05505048853863155","0.05505048853863155","0.05505602411908346","0.05505602411908346","0.05505602411908346","0.0551153540897237","0.0551153540897237","0.0551153540897237","0.05521054842512848","0.05521054842512848","0.05521054842512848","0.055211572553575075","0.055211572553575075","0.055211572553575075","0.05522183050694921","0.05522183050694921","0.05522183050694921","0.052168083871495956","0.052168083871495956","0.052168083871495956","0.05215648854222677","0.05215648854222677","0.05215648854222677"
"6","0.05066140596631236","0.05066140596631236","0.05066140596631236","0.05051488095471235","0.05051488095471235","0.05051488095471235","0.05488541898768194","0.05488541898768194","0.05488541898768194","0.054891703794983204","0.054891703794983204","0.054891703794983204","0.05496416394516288","0.05496416394516288","0.05496416394516288","0.05520881731207587","0.05520881731207587","0.05520881731207587","0.055210051643554706","0.055210051643554706","0.055210051643554706","0.055222423664825236","0.055222423664825236","0.055222423664825236","0.05187897181489664","0.05187897181489664","0.05187897181489664","0.05187321725572511","0.05187321725572511","0.05187321725572511"
"7","0.05173473107111988","0.05173473107111988","0.05173473107111988","0.05193941476118224","0.05193941476118224","0.05193941476118224","0.05451323949960291","0.05451323949960291","0.05451323949960291","0.05451937884104847","0.05451937884104847","0.05451937884104847","0.05459951991366379","0.05459951991366379","0.05459951991366379","0.05520325106597598","0.05520325106597598","0.05520325106597598","0.05520469866428067","0.05520469866428067","0.05520469866428067","0.055219250510486505","0.055219250510486505","0.055219250510486505","0.05481787839507211","0.05481787839507211","0.05481787839507211","0.054838136534626374","0.054838136534626374","0.054838136534626374"
"8","0.053497589189672394","0.053497589189672394","0.053497589189672394","0.053618754765323504","0.053618754765323504","0.053618754765323504","0.053830272041706","0.053830272041706","0.053830272041706","0.05383273601893949","0.05383273601893949","0.05383273601893949","0.053886892565298154","0.053886892565298154","0.053886892565298154","0.05520126528466035","0.05520126528466035","0.05520126528466035","0.055202925056122745","0.055202925056122745","0.055202925056122745","0.0552196097165619","0.0552196097165619","0.0552196097165619","0.05563864424523424","0.05563864424523424","0.05563864424523424","0.05563876832399779","0.05563876832399779","0.05563876832399779"
"9","0.0515378047226261","0.0515378047226261","0.0515378047226261","0.05195566600505752","0.05195566600505752","0.05195566600505752","0.05277625337103139","0.05277625337103139","0.05277625337103139","0.05276964834363577","0.05276964834363577","0.05276964834363577","0.052745801431499165","0.052745801431499165","0.052745801431499165","0.05519975217918331","0.05519975217918331","0.05519975217918331","0.05520162188178184","0.05520162188178184","0.05520162188178184","0.055220456141388756","0.055220456141388756","0.055220456141388756","0.05454156506449882","0.05454156506449882","0.05454156506449882","0.05460255691352672","0.05460255691352672","0.05460255691352672"
"10","0.05594037623142399","0.05594037623142399","0.05594037623142399","0.05773570875173306","0.05773570875173306","0.05773570875173306","0.05151603214279719","0.05151603214279719","0.05151603214279719","0.05149950924936271","0.05149950924936271","0.05149950924936271","0.05138102580254138","0.05138102580254138","0.05138102580254138","0.05519789933962088","0.05519789933962088","0.05519789933962088","0.055199985314551836","0.055199985314551836","0.055199985314551836","0.055221020627052184","0.055221020627052184","0.055221020627052184","0.06120856394453523","0.06120856394453523","0.06120856394453523","0.06136866123214655","0.06136866123214655","0.06136866123214655"